460946,260946,,
553937,353937,284065.096,AV
539715,339715,63688.20974,SD
447818,247818,,
447088,247088,,
446723,246723,,
447453,247453,,
446724,246724,,
446723,246723,,
446723,246723,,
446723,246723,,
445994,245994,,
447818,247818,,
423020,223020,,
423020,223020,,
451099,251099,,
448182,248182,,
445994,245994,,
447453,247453,,
423020,223020,,
423749,223749,,
423019,223019,,
422655,222655,,
446724,246724,,
446359,246359,,
422290,222290,,
424114,224114,,
422655,222655,,
423020,223020,,
502883,302883,,
447453,247453,,
447088,247088,,
423385,223385,,
446723,246723,,
447817,247817,,
445994,245994,,
458757,258757,,
445264,245264,,
447088,247088,,
447453,247453,,
446359,246359,,
446724,246724,,
446359,246359,,
446359,246359,,
447453,247453,,
447088,247088,,
447453,247453,,
445994,245994,,
446359,246359,,
446359,246359,,
447088,247088,,
446724,246724,,
447088,247088,,
447453,247453,,
446359,246359,,
459487,259487,,
481367,281367,,
446723,246723,,
447088,247088,,
568889,368889,,
446723,246723,,
447452,247452,,
513094,313094,,
511271,311271,,
445994,245994,,
446359,246359,,
447088,247088,,
446724,246724,,
447088,247088,,
599521,399521,,
447452,247452,,
447453,247453,,
446359,246359,,
459487,259487,,
577641,377641,,
459852,259852,,
474438,274438,,
472979,272979,,
476262,276262,,
476627,276627,,
714758,514758,,
604991,404991,,
569983,369983,,
573264,373264,,
588217,388217,,
491943,291943,,
563783,363783,,
513093,313093,,
473345,273345,,
476262,276262,,
474074,274074,,
479908,279908,,
459122,259122,,
633800,433800,,
461675,261675,,
478085,278085,,
529504,329504,,
505800,305800,,
461311,261311,,
462405,262405,,
617390,417390,,
484284,284284,,
504706,304706,,
673185,473185,,
499237,299237,,
491213,291213,,
695795,495795,,
662974,462974,,
459486,259486,,
459852,259852,,
476627,276627,,
485379,285379,,
498142,298142,,
498507,298507,,
499236,299236,,
480274,280274,,
459851,259851,,
458758,258758,,
459851,259851,,
446724,246724,,
446359,246359,,
448182,248182,,
460945,260945,,
473345,273345,,
472615,272615,,
473344,273344,,
535704,335704,,
447818,247818,,
446723,246723,,
666986,466986,,
446723,246723,,
445994,245994,,
485014,285014,,
474803,274803,,
446723,246723,,
450006,250006,,
446724,246724,,
446723,246723,,
450006,250006,,
447453,247453,,
447088,247088,,
445629,245629,,
595874,395874,,
448182,248182,,
446358,246358,,
447088,247088,,
447452,247452,,
424114,224114,,
423019,223019,,
564877,364877,,
447453,247453,,
448911,248911,,
538986,338986,,
445994,245994,,
445994,245994,,
447817,247817,,
446359,246359,,
574723,374723,,
516376,316376,,
445630,245630,,
447453,247453,,
445630,245630,,
446359,246359,,
866097,666097,,
445994,245994,,
459851,259851,,
498872,298872,,
446723,246723,,
446358,246358,,
446359,246359,,
460946,260946,,
459852,259852,,
742473,542473,,
446723,246723,,
446359,246359,,
447452,247452,,
447088,247088,,
446359,246359,,
447088,247088,,
603168,403168,,
462405,262405,,
609732,409732,,
447088,247088,,
447088,247088,,
448547,248547,,
447453,247453,,
446724,246724,,
447088,247088,,
579464,379464,,
569983,369983,,
445995,245995,,
447088,247088,,
566701,366701,,
460217,260217,,
460216,260216,,
446723,246723,,
446723,246723,,
446723,246723,,
446359,246359,,
447817,247817,,
447088,247088,,
446359,246359,,
