840934,540934,,,,,,,,
776752,476752,538966.984,AV,,,,,,
768729,468729,120487.5696,SD,,,,,,
839840,539840,,,,,,,,
798997,498997,,,,,,,,
797903,497903,,,,,,,,
775657,475657,,,,,,,,
770188,470188,,,,,,,,
776752,476752,,,,,,,,
1051714,751714,,,,,,,,
766905,466905,,,,,,,,
774199,474199,,,,,,,,
768364,468364,,,,,,,,
776752,476752,,,,,,,,
767635,467635,,,,,,,,
892718,592718,,,,,,,,
767635,467635,,,,,,,,
775293,475293,,,,,,,,
899282,599282,,,,,,,,
902563,602563,,,,,,,,
778211,478211,,,,,,,,
846404,546404,,,,,,,,
769458,469458,,,,,,,,
774928,474928,,,,,,,,
780763,480763,,,,,,,,
769458,469458,,,,,,,,
776387,476387,,,,,,,,
797538,497538,,,,,,,,
776023,476023,,,,,,,,
809208,509208,,,,,,,,
817230,517230,,,,,,,,
859167,559167,,,,,,,,
778211,478211,,,,,,,,
774929,474929,,,,,,,,
777481,477481,,,,,,,,
822701,522701,,,,,,,,
1117356,817356,,,,,,,,
806655,506655,,,,,,,,
906575,606575,,,,,,,,
769459,469459,,,,,,,,
775293,475293,,,,,,,,
807019,507019,,,,,,,,
776387,476387,,,,,,,,
766906,466906,,,,,,,,
808843,508843,,,,,,,,
768364,468364,,,,,,,,
776387,476387,,,,,,,,
833641,533641,,,,,,,,
777846,477846,,,,,,,,
774199,474199,,,,,,,,
1081982,781982,,,,,,,,
761800,461800,,,,,,,,
825982,525982,,,,,,,,
860626,560626,,,,,,,,
771646,471646,,,,,,,,
912046,612046,,,,,,,,
818689,518689,,,,,,,,
896000,596000,,,,,,,,
843487,543487,,,,,,,,
835828,535828,,,,,,,,
811030,511030,,,,,,,,
971122,671122,,,,,,,,
1025093,725093,,,,,,,,
875578,575578,,,,,,,,
1035669,735669,,,,,,,,
838016,538016,,,,,,,,
823065,523065,,,,,,,,
793527,493527,,,,,,,,
841664,541664,,,,,,,,
809573,509573,,,,,,,,
777116,477116,,,,,,,,
769094,469094,,,,,,,,
846769,546769,,,,,,,,
857344,557344,,,,,,,,
1309538,1009538,,,,,,,,
768000,468000,,,,,,,,
892718,592718,,,,,,,,
769459,469459,,,,,,,,
966746,666746,,,,,,,,
846039,546039,,,,,,,,
807384,507384,,,,,,,,
829265,529265,,,,,,,,
887612,587612,,,,,,,,
844946,544946,,,,,,,,
769458,469458,,,,,,,,
833640,533640,,,,,,,,
753778,453778,,,,,,,,
748307,448307,,,,,,,,
1177526,877526,,,,,,,,
760706,460706,,,,,,,,
1165492,865492,,,,,,,,
1164399,864399,,,,,,,,
823065,523065,,,,,,,,
769823,469823,,,,,,,,
1044786,744786,,,,,,,,
857709,557709,,,,,,,,
963828,663828,,,,,,,,
991544,691544,,,,,,,,
1126472,826472,,,,,,,,
1032387,732387,,,,,,,,
973674,673674,,,,,,,,
1262495,962495,,,,,,,,
892353,592353,,,,,,,,
1094381,794381,,,,,,,,
837652,537652,,,,,,,,
946689,646689,,,,,,,,
768729,468729,,,,,,,,
1012330,712330,,,,,,,,
890894,590894,,,,,,,,
1104228,804228,,,,,,,,
1038221,738221,,,,,,,,
896000,596000,,,,,,,,
1075053,775053,,,,,,,,
979509,679509,,,,,,,,
931008,631008,,,,,,,,
961276,661276,,,,,,,,
981698,681698,,,,,,,,
1048797,748797,,,,,,,,
844946,544946,,,,,,,,
773834,473834,,,,,,,,
1135224,835224,,,,,,,,
851874,551874,,,,,,,,
1096569,796569,,,,,,,,
794621,494621,,,,,,,,
1112250,812250,,,,,,,,
1026553,726553,,,,,,,,
1169504,869504,,,,,,,,
1159293,859293,,,,,,,,
1164398,864398,,,,,,,,
1162939,862939,,,,,,,,
1051350,751350,,,,,,,,
1073231,773231,,,,,,,,
893811,593811,,,,,,,,
815042,515042,,,,,,,,
814678,514678,,,,,,,,
913869,613869,,,,,,,,
813584,513584,,,,,,,,
843487,543487,,,,,,,,
1067396,767396,,,,,,,,
768364,468364,,,,,,,,
880684,580684,,,,,,,,
768729,468729,,,,,,,,
768000,468000,,,,,,,,
828900,528900,,,,,,,,
766905,466905,,,,,,,,
766541,466541,,,,,,,,
769094,469094,,,,,,,,
769459,469459,,,,,,,,
766905,466905,,,,,,,,
768364,468364,,,,,,,,
768364,468364,,,,,,,,
801915,501915,,,,,,,,
1106780,806780,,,,,,,,
768000,468000,,,,,,,,
768729,468729,,,,,,,,
768000,468000,,,,,,,,
785139,485139,,,,,,,,
766541,466541,,,,,,,,
768000,468000,,,,,,,,
767270,467270,,,,,,,,
767270,467270,,,,,,,,
787327,487327,,,,,,,,
766541,466541,,,,,,,,
812855,512855,,,,,,,,
824888,524888,,,,,,,,
790610,490610,,,,,,,,
875942,575942,,,,,,,,
791338,491338,,,,,,,,
785504,485504,,,,,,,,
767635,467635,,,,,,,,
878495,578495,,,,,,,,
766905,466905,,,,,,,,
766906,466906,,,,,,,,
815771,515771,,,,,,,,
768364,468364,,,,,,,,
766906,466906,,,,,,,,
797902,497902,,,,,,,,
790609,490609,,,,,,,,
767271,467271,,,,,,,,
766541,466541,,,,,,,,
1193572,893572,,,,,,,,
769094,469094,,,,,,,,
904751,604751,,,,,,,,
767635,467635,,,,,,,,
767270,467270,,,,,,,,
766905,466905,,,,,,,,
766906,466906,,,,,,,,
1072501,772501,,,,,,,,
841664,541664,,,,,,,,
769823,469823,,,,,,,,
